Name,First year,Last year,Full Name,Country,Positions,Bat hand,Throw hand,HoF,HoF type,HoF year,HoF comittee,Years,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%
Austin Adams,2014,2019,Austin David Adams,us,['Pitcher'],Right,Right,-,-,-,-,4.0,2.0,0.0,1.000,6.45,68.0,0.0,30.0,0.0,0.0,1.0,75.1,91.0,57.0,54.0,12.0,34.0,2.0,58.0,0.0,0.0,1.0,347.0,70.0,5.04,1.659,10.9,1.4,4.1,6.9,1.71,6.81,4.55,-0.04,-0.32,107.6,4.57,-19,-1.9,.37,0.5,-0.6,-11,.473,.498
Austin Adams,2017,2022,Austin Lance Adams,us,['Pitcher'],Right,Right,-,-,-,-,6.0,6.0,4.0,.600,3.90,108.0,2.0,25.0,0.0,0.0,0.0,97.0,56.0,48.0,42.0,6.0,67.0,2.0,148.0,26.0,0.0,10.0,433.0,107.0,3.81,1.268,5.2,0.6,6.2,13.7,2.21,4.45,4.88,0.00,-0.32,0.17,94.9,4.49,0.0,0.1,.96,-0.1,0.9,10.0,.501
Babe Adams,1906,1926,Charles Benjamin Adams,us,['Pitcher'],Left,Right,-,-,-,-,19.0,194.0,140.0,.581,2.76,482.0,354.0,90.0,205.0,44.0,16.0,2995.1,2841.0,1133.0,917.0,67.0,430.0,,1036.0,47.0,2.0,26.0,11947.0,118.0,2.70,1.092,8.5,0.2,1.3,3.1,2.41,3.42,4.21,0.12,0.00,99.1,4.05,214.0,27.4,1.41,-2.2,50.2,442.0,.557,.513
Bob Adams,1925,1925,Robert Burnette Adams,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,7.94,2.0,0.0,2.0,0.0,0.0,0.0,5.2,10.0,5.0,5.0,1.0,3.0,,1.0,0.0,0.0,0.0,28.0,60.0,5.73,2.294,15.9,1.6,4.8,1.6,0.33,7.94,6.01,-0.41,0.00,106.0,6.81,-1,-0.1,1.00,0.0,0.0,0.0,.467,.500
Bob Adams,1931,1932,Robert Andrew Adams,us,['Pitcher'],Right,Right,-,-,-,-,2.0,0.0,1.0,.000,5.25,5.0,1.0,3.0,0.0,0.0,0.0,12.0,21.0,11.0,7.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,60.0,87.0,2.88,2.000,15.8,0.0,2.3,3.8,1.67,8.25,4.20,-0.32,0.00,108.5,4.96,-4,-0.1,.06,-0.2,-0.1,-3,.486,.501
Chance Adams,2018,2020,Chance Adams,us,['Pitcher'],Right,Right,-,-,-,-,3.0,1.0,2.0,.333,8.42,22.0,1.0,7.0,0.0,0.0,1.0,41.2,62.0,41.0,39.0,11.0,15.0,0.0,33.0,2.0,1.0,3.0,198.0,54.0,6.27,1.848,13.4,2.4,3.2,7.1,2.20,8.86,4.88,0.04,-0.20,0.00,99.8,4.64,-20,-1.8,.43,0.3,-1.1,-15,.418
Dan Adams,1914,1915,Daniel Leslie Adams,us,['Pitcher'],Right,Right,-,-,-,-,2.0,4.0,11.0,.267,3.74,47.0,16.0,24.0,6.0,0.0,3.0,171.0,182.0,87.0,71.0,5.0,65.0,,54.0,8.0,0.0,8.0,726.0,81.0,3.46,1.444,9.6,0.3,3.4,2.8,0.83,4.58,4.06,-0.05,0.00,93.7,3.86,-15,-1.7,1.00,-0.1,-1.0,-7,.464,.494
Joe Adams,1902,1902,Joseph Edward Adams,us,['Pitcher'],Right,Left,-,-,-,-,1.0,0.0,0.0,,9.00,1.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,6.0,4.0,0.0,2.0,,0.0,1.0,0.0,0.0,23.0,34.0,4.92,2.750,20.3,0.0,4.5,0.0,0.00,13.50,4.23,-0.38,0.00,97.0,4.47,-4,-0.3,1.00,0.0,-0.3,-4,.197,.498
Karl Adams,1914,1915,Karl Tutwiler Adams,us,['Pitcher'],Right,Right,-,-,-,-,2.0,1.0,9.0,.100,5.01,30.0,12.0,14.0,3.0,0.0,0.0,115.0,119.0,72.0,64.0,6.0,48.0,,62.0,2.0,0.0,4.0,503.0,56.0,3.32,1.452,9.3,0.5,3.8,4.9,1.29,5.63,3.68,-0.10,0.00,101.1,3.81,-23,-2.5,.62,0.0,-1.5,-15,.417,.490
Mike Adams,2004,2014,Jon Michael Adams,us,['Pitcher'],Right,Right,-,-,-,-,10.0,21.0,20.0,.512,2.41,408.0,0.0,60.0,0.0,0.0,4.0,407.1,316.0,122.0,109.0,33.0,126.0,12.0,409.0,6.0,0.0,7.0,1653.0,165.0,3.09,1.085,7.0,0.7,2.8,9.0,3.25,2.70,4.42,0.00,-0.33,96.2,3.94,57.0,6.1,1.40,0.3,10.1,92.0,.515,.505
Red Adams,1946,1946,Charles Dwight Adams,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,1.0,.000,8.25,8.0,0.0,4.0,0.0,0.0,0.0,12.0,18.0,12.0,11.0,1.0,7.0,1.0,8.0,0.0,0.0,0.0,59.0,42.0,4.08,2.083,13.5,0.8,5.3,6.0,1.14,9.00,4.12,-0.10,0.00,98.1,4.14,-6,-0.7,.79,0.1,-0.5,-5,.415,.496
